,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,DC_NAME,PRICE,CURRENCY
156,.1~157,157,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F11,1kg Nut Muesli,10,Hypermarket,8.51,EUR
157,.1~158,158,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F11,1kg Nut Muesli,12,Grocery chains,9.01,EUR
158,.1~159,159,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F12,1kg Blueberry Muesli,10,Hypermarket,9.16,EUR
159,.1~160,160,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F12,1kg Blueberry Muesli,12,Grocery chains,9.66,EUR
160,.1~161,161,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F13,1kg Strawberry Muesli,10,Hypermarket,9.17,EUR
161,.1~162,162,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F13,1kg Strawberry Muesli,12,Grocery chains,9.67,EUR
162,.1~163,163,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F14,1kg Raisin Muesli,10,Hypermarket,8.28,EUR
163,.1~164,164,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F14,1kg Raisin Muesli,12,Grocery chains,8.78,EUR
164,.1~165,165,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F15,1kg Original Muesli,10,Hypermarket,8.25,EUR
165,.1~166,166,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F15,1kg Original Muesli,12,Grocery chains,8.75,EUR
166,.1~167,167,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F16,1kg Mixed Fruit Muesli,10,Hypermarket,8.96,EUR
167,.1~168,168,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F16,1kg Mixed Fruit Muesli,12,Grocery chains,9.46,EUR
168,.1~169,169,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F01,500g Nut Muesli,12,Grocery chains,8.80,EUR
169,.1~170,170,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F01,500g Nut Muesli,14,Indept. grocers,9.90,EUR
170,.1~171,171,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F02,500g Blueberry Muesli,12,Grocery chains,9.13,EUR
171,.1~172,172,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F02,500g Blueberry Muesli,14,Indept. grocers,10.23,EUR
172,.1~173,173,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F03,500g Strawberry Muesli,12,Grocery chains,9.13,EUR
173,.1~174,174,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F03,500g Strawberry Muesli,14,Indept. grocers,10.23,EUR
174,.1~175,175,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F04,500g Raisin Muesli,12,Grocery chains,8.69,EUR
175,.1~176,176,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F04,500g Raisin Muesli,14,Indept. grocers,9.79,EUR
176,.1~177,177,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F05,500g Original Muesli,12,Grocery chains,8.67,EUR
177,.1~178,178,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F05,500g Original Muesli,14,Indept. grocers,9.77,EUR
178,.1~179,179,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F06,500g Mixed Fruit Muesli,12,Grocery chains,9.03,EUR
179,.1~180,180,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F06,500g Mixed Fruit Muesli,14,Indept. grocers,10.13,EUR
