,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,INVENTORY_OPENING_BALANCE,UNIT
411,.1~650,650,C2,02,10,02/10,2024-01-30T00:00:00,6,30,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
412,.1~892,892,C2,03,01,03/01,2024-02-10T00:00:00,9,41,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
413,.1~474,474,C2,02,02,02/02,2024-01-22T00:00:00,5,22,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
414,.1~562,562,C2,02,06,02/06,2024-01-26T00:00:00,6,26,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
415,.1~738,738,C2,02,14,02/14,2024-02-03T00:00:00,7,34,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,33470,ST
416,.1~760,760,C2,02,15,02/15,2024-02-04T00:00:00,7,35,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,32417,ST
417,.1~826,826,C2,02,18,02/18,2024-02-07T00:00:00,8,38,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
418,.1~694,694,C2,02,12,02/12,2024-02-01T00:00:00,7,32,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
419,.1~540,540,C2,02,05,02/05,2024-01-25T00:00:00,5,25,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
420,.1~606,606,C2,02,08,02/08,2024-01-28T00:00:00,6,28,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
421,.1~672,672,C2,02,11,02/11,2024-01-31T00:00:00,7,31,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
422,.1~584,584,C2,02,07,02/07,2024-01-27T00:00:00,6,27,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
423,.1~628,628,C2,02,09,02/09,2024-01-29T00:00:00,6,29,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
424,.1~716,716,C2,02,13,02/13,2024-02-02T00:00:00,7,33,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,23992,ST
425,.1~496,496,C2,02,03,02/03,2024-01-23T00:00:00,5,23,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
426,.1~870,870,C2,02,20,02/20,2024-02-09T00:00:00,8,40,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
427,.1~848,848,C2,02,19,02/19,2024-02-08T00:00:00,8,39,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
428,.1~518,518,C2,02,04,02/04,2024-01-24T00:00:00,5,24,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
429,.1~782,782,C2,02,16,02/16,2024-02-05T00:00:00,8,36,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,15739,ST
430,.1~430,430,C2,01,20,01/20,2024-01-20T00:00:00,4,20,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
431,.1~276,276,C2,01,13,01/13,2024-01-13T00:00:00,3,13,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,18664,ST
432,.1~34,34,C2,01,02,01/02,2024-01-02T00:00:00,1,2,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
433,.1~298,298,C2,01,14,01/14,2024-01-14T00:00:00,3,14,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,36338,ST
434,.1~144,144,C2,01,07,01/07,2024-01-07T00:00:00,2,7,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
435,.1~232,232,C2,01,11,01/11,2024-01-11T00:00:00,3,11,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
436,.1~78,78,C2,01,04,01/04,2024-01-04T00:00:00,1,4,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
437,.1~386,386,C2,01,18,01/18,2024-01-18T00:00:00,4,18,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,113,ST
438,.1~452,452,C2,02,01,02/01,2024-01-21T00:00:00,5,21,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
439,.1~408,408,C2,01,19,01/19,2024-01-19T00:00:00,4,19,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
440,.1~364,364,C2,01,17,01/17,2024-01-17T00:00:00,4,17,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,113,ST
441,.1~12,12,C2,01,01,01/01,2024-01-01T00:00:00,1,1,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
442,.1~166,166,C2,01,08,01/08,2024-01-08T00:00:00,2,8,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
443,.1~320,320,C2,01,15,01/15,2024-01-15T00:00:00,3,15,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,36360,ST
444,.1~188,188,C2,01,09,01/09,2024-01-09T00:00:00,2,9,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
445,.1~100,100,C2,01,05,01/05,2024-01-05T00:00:00,1,5,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
446,.1~342,342,C2,01,16,01/16,2024-01-16T00:00:00,4,16,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,13038,ST
447,.1~210,210,C2,01,10,01/10,2024-01-10T00:00:00,2,10,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
448,.1~56,56,C2,01,03,01/03,2024-01-03T00:00:00,1,3,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
449,.1~122,122,C2,01,06,01/06,2024-01-06T00:00:00,2,6,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
450,.1~254,254,C2,01,12,01/12,2024-01-12T00:00:00,3,12,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
451,.1~535,535,C2,02,05,02/05,2024-01-25T00:00:00,5,25,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,28381,ST
452,.1~381,381,C2,01,18,01/18,2024-01-18T00:00:00,4,18,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
453,.1~821,821,C2,02,18,02/18,2024-02-07T00:00:00,8,38,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
454,.1~271,271,C2,01,13,01/13,2024-01-13T00:00:00,3,13,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
455,.1~183,183,C2,01,09,01/09,2024-01-09T00:00:00,2,9,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
456,.1~73,73,C2,01,04,01/04,2024-01-04T00:00:00,1,4,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
457,.1~645,645,C2,02,10,02/10,2024-01-30T00:00:00,6,30,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
458,.1~95,95,C2,01,05,01/05,2024-01-05T00:00:00,1,5,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
459,.1~557,557,C2,02,06,02/06,2024-01-26T00:00:00,6,26,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,18898,ST
460,.1~755,755,C2,02,15,02/15,2024-02-04T00:00:00,7,35,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
461,.1~359,359,C2,01,17,01/17,2024-01-17T00:00:00,4,17,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
462,.1~799,799,C2,02,17,02/17,2024-02-06T00:00:00,8,37,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
463,.1~293,293,C2,01,14,01/14,2024-01-14T00:00:00,3,14,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
464,.1~579,579,C2,02,07,02/07,2024-01-27T00:00:00,6,27,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,6141,ST
465,.1~161,161,C2,01,08,01/08,2024-01-08T00:00:00,2,8,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
466,.1~117,117,C2,01,06,01/06,2024-01-06T00:00:00,2,6,02,CC-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,ST
